totim,time_step,stress_period,name,ZONE_1
1.0,0,0,FROM_STORAGE,0.0
1.0,0,0,FROM_CONSTANT_HEAD,29693.05
1.0,0,0,FROM_DRAINS,0.0
1.0,0,0,FROM_RECHARGE,427474.53
1.0,0,0,FROM_ZONE_0,0.0
1.0,0,0,FROM_ZONE_1,0.0
1.0,0,0,TOTAL_IN,457167.6
1.0,0,0,TO_STORAGE,0.0
1.0,0,0,TO_CONSTANT_HEAD,0.0
1.0,0,0,TO_DRAINS,203025.75
1.0,0,0,TO_RECHARGE,0.0
1.0,0,0,TO_ZONE_0,0.0
1.0,0,0,TO_ZONE_1,0.0
1.0,0,0,TOTAL_OUT,203025.75
1.0,0,0,IN-OUT,254141.84
1.0,0,0,PERCENT_DISCREPANCY,76.99012
32.0,0,1,FROM_STORAGE,6274.3555
32.0,0,1,FROM_CONSTANT_HEAD,29693.05
32.0,0,1,FROM_DRAINS,0.0
32.0,0,1,FROM_RECHARGE,427474.53
32.0,0,1,FROM_ZONE_0,0.0
32.0,0,1,FROM_ZONE_1,0.0
32.0,0,1,TOTAL_IN,463441.94
32.0,0,1,TO_STORAGE,0.14094377
32.0,0,1,TO_CONSTANT_HEAD,0.0
32.0,0,1,TO_DRAINS,203025.75
32.0,0,1,TO_RECHARGE,0.0
32.0,0,1,TO_ZONE_0,0.0
32.0,0,1,TO_ZONE_1,0.0
32.0,0,1,TOTAL_OUT,203025.89
32.0,0,1,IN-OUT,260416.05
32.0,0,1,PERCENT_DISCREPANCY,78.148125
60.0,0,2,FROM_STORAGE,6274.3213
60.0,0,2,FROM_CONSTANT_HEAD,29693.05
60.0,0,2,FROM_DRAINS,0.0
60.0,0,2,FROM_RECHARGE,427474.53
60.0,0,2,FROM_ZONE_0,0.0
60.0,0,2,FROM_ZONE_1,0.0
60.0,0,2,TOTAL_IN,463441.9
60.0,0,2,TO_STORAGE,0.10606106
60.0,0,2,TO_CONSTANT_HEAD,0.0
60.0,0,2,TO_DRAINS,203025.75
60.0,0,2,TO_RECHARGE,0.0
60.0,0,2,TO_ZONE_0,0.0
60.0,0,2,TO_ZONE_1,0.0
60.0,0,2,TOTAL_OUT,203025.86
60.0,0,2,IN-OUT,260416.05
60.0,0,2,PERCENT_DISCREPANCY,78.14813
91.0,0,3,FROM_STORAGE,6274.3
91.0,0,3,FROM_CONSTANT_HEAD,29693.05
91.0,0,3,FROM_DRAINS,0.0
91.0,0,3,FROM_RECHARGE,427474.53
91.0,0,3,FROM_ZONE_0,0.0
91.0,0,3,FROM_ZONE_1,0.0
91.0,0,3,TOTAL_IN,463441.88
91.0,0,3,TO_STORAGE,0.08237615
91.0,0,3,TO_CONSTANT_HEAD,0.0
91.0,0,3,TO_DRAINS,203025.75
91.0,0,3,TO_RECHARGE,0.0
91.0,0,3,TO_ZONE_0,0.0
91.0,0,3,TO_ZONE_1,0.0
91.0,0,3,TOTAL_OUT,203025.83
91.0,0,3,IN-OUT,260416.05
91.0,0,3,PERCENT_DISCREPANCY,78.14814
121.0,0,4,FROM_STORAGE,6274.295
121.0,0,4,FROM_CONSTANT_HEAD,29693.05
121.0,0,4,FROM_DRAINS,0.0
121.0,0,4,FROM_RECHARGE,427474.53
121.0,0,4,FROM_ZONE_0,0.0
121.0,0,4,FROM_ZONE_1,0.0
121.0,0,4,TOTAL_IN,463441.88
121.0,0,4,TO_STORAGE,0.07822751
121.0,0,4,TO_CONSTANT_HEAD,0.0
121.0,0,4,TO_DRAINS,203025.75
121.0,0,4,TO_RECHARGE,0.0
121.0,0,4,TO_ZONE_0,0.0
121.0,0,4,TO_ZONE_1,0.0
121.0,0,4,TOTAL_OUT,203025.83
121.0,0,4,IN-OUT,260416.05
121.0,0,4,PERCENT_DISCREPANCY,78.14814
152.0,0,5,FROM_STORAGE,6275.7725
152.0,0,5,FROM_CONSTANT_HEAD,29693.05
152.0,0,5,FROM_DRAINS,0.0
152.0,0,5,FROM_RECHARGE,427474.53
152.0,0,5,FROM_ZONE_0,0.0
152.0,0,5,FROM_ZONE_1,0.0
152.0,0,5,TOTAL_IN,463443.34
152.0,0,5,TO_STORAGE,0.07248992
152.0,0,5,TO_CONSTANT_HEAD,0.0
152.0,0,5,TO_DRAINS,203025.75
152.0,0,5,TO_RECHARGE,0.0
152.0,0,5,TO_ZONE_0,0.0
152.0,0,5,TO_ZONE_1,0.0
152.0,0,5,TOTAL_OUT,203025.83
152.0,0,5,IN-OUT,260417.52
152.0,0,5,PERCENT_DISCREPANCY,78.14841
182.0,0,6,FROM_STORAGE,6275.764
182.0,0,6,FROM_CONSTANT_HEAD,29693.05
182.0,0,6,FROM_DRAINS,0.0
182.0,0,6,FROM_RECHARGE,427474.53
182.0,0,6,FROM_ZONE_0,0.0
182.0,0,6,FROM_ZONE_1,0.0
182.0,0,6,TOTAL_IN,463443.34
182.0,0,6,TO_STORAGE,0.07206504
182.0,0,6,TO_CONSTANT_HEAD,0.0
182.0,0,6,TO_DRAINS,203025.75
182.0,0,6,TO_RECHARGE,0.0
182.0,0,6,TO_ZONE_0,0.0
182.0,0,6,TO_ZONE_1,0.0
182.0,0,6,TOTAL_OUT,203025.83
